high,low,volume,close,open,time
335.2,326.12,32663003.0,329.01,334.83,1641272400
326.07,316.0,39731813.0,316.38,325.86,1641358800
318.7,311.49,39788894.0,313.88,313.15,1641445200
316.5,310.09,32686013.0,314.04,314.15,1641531600
314.72,304.69,44126082.0,314.27,309.485,1641790800
316.61,309.89,29386774.0,314.98,313.38,1641877200
323.41,317.08,34340362.0,318.27,319.67,1641963600
320.88,304.0,45278565.0,304.8,320.459,1642050000
310.82,303.75,39790359.0,310.2,304.25,1642136400
309.8,301.74,42549734.0,302.65,304.07,1642482000
313.9093,302.7,45853527.0,303.33,306.29,1642568400
311.6494,301.14,35251958.0,301.6,309.07,1642654800
304.11,295.61,57703944.0,296.03,302.685,1642741200
297.11,276.05,84892712.0,296.37,292.2,1643000400
294.99,285.17,72748418.0,288.49,291.52,1643086800
308.5,293.03,89356245.0,296.71,307.985,1643173200
307.3,297.93,53245518.0,299.84,302.66,1643259600
308.48,294.45,49636461.0,308.26,300.23,1643346000
312.38,306.37,46366905.0,310.98,308.95,1643605200
310.63,305.1293,40845829.0,308.76,310.535,1643691600
315.12,308.88,36591486.0,313.46,309.63,1643778000
311.23,299.96,43648997.0,301.25,309.47,1643864400
308.8,299.97,35008085.0,305.94,300.21,1643950800
307.84,299.9,28475851.0,300.95,306.17,1644210000
305.561,299.95,32344327.0,304.56,301.25,1644296400
311.93,307.41,30630520.0,311.21,309.865,1644382800
309.12,300.7,44086825.0,302.38,304.04,1644469200
304.29,294.22,37625984.0,295.04,303.19,1644555600
296.76,291.35,34368714.0,295.0,293.77,1644814800
300.8,297.02,26678191.0,300.47,300.008,1644901200
300.87,293.68,29267918.0,299.5,298.365,1644987600
296.8,290.0,31712629.0,290.73,296.39,1645074000
293.86,286.305,33329173.0,287.93,293.05,1645160400
291.54,284.5,40443571.0,287.72,285.0,1645506000
291.7,280.1,37862459.0,280.34,290.18,1645592400
295.16,271.52,57209360.0,294.59,272.51,1645678800
297.62,291.655,31040429.0,297.31,295.185,1645765200
299.14,293.0,32985981.0,298.79,294.31,1646024400
299.97,292.15,29765710.0,294.95,296.4,1646110800
301.44,293.698,30332595.0,300.19,295.36,1646197200
303.13,294.05,26200571.0,295.92,302.89,1646283600
295.66,287.165,31208173.0,289.86,294.29,1646370000
289.69,278.53,41736803.0,278.91,288.53,1646629200
283.96,270.0,46348347.0,275.85,277.8,1646715600
289.6,280.78,33694771.0,288.5,283.44,1646802000
286.6,280.58,29498289.0,285.59,283.02,1646888400
289.51,279.43,26376514.0,280.07,287.96,1646974800
285.3992,275.82,29357508.0,276.44,280.34,1647230400
287.82,278.725,33386352.0,287.15,280.35,1647316800
294.57,283.2,36642309.0,294.39,289.11,1647403200
295.61,289.37,29904272.0,295.22,293.29,1647489600
300.99,292.73,42681005.0,300.43,295.37,1647576000
300.14,294.9,27665277.0,299.16,298.89,1647835200
305.0,298.77,27194404.0,304.06,299.8,1647921600
303.23,297.7201,25321621.0,299.49,300.69,1648008000
304.2,298.315,24010405.0,304.1,299.14,1648094400
305.5,299.2855,22380012.0,303.68,305.23,1648180800
310.8,304.33,57447113.0,310.7,304.33,1648440000
